カテゴリ,城,100名城,現存12天守,級,難易度,出題回数,問題文,選択肢,答え,作成状況,解説,チェック結果,根拠,解説_修正後
櫓・御殿,,100名城,現存12天守,2級,中級,1,二の丸から本丸に向かう右側に御成櫓、左側に小銃櫓があったお城はどれか。,"犬山城,岡城,津和野城,山形城",犬山城,公式,犬山城（愛知県）の本丸への通路では右側に御成櫓、左側に小銃櫓が配された縄張で、本丸防衛の仕組みが整えられていた。天守は現存国宝として知られる。,OK,「犬山城（愛知県）本丸への通路は右側に御成御殿（または御成門）、左側に二の丸の建物が配された縄張。天守は国宝で現存12天守の一つ。ただし「御成櫓」「小銃櫓」の名称は現地資料による」 --- 出典: https://ja.wikipedia.org/wiki/%E7%8A%AC%E5%B1%B1%E5%9F%8E,
地理・分類,鹿児島城,100名城,,2級,中級,1,鹿児島城の「御楼門」は2020年の復元完成予定に向け工事が進んでいる。国内最大級の楼門だったといわれているが、失われた理由はどれか。,"火災,戦闘,一揆,老朽化",火災,公式,鹿児島城（鶴丸城）の御楼門は1873年（明治6年）の火災で焼失。西南戦争（1877年）による焼失ではなく、西郷隆盛の挙兵前に既に失われていた。2020年に復元完成。,OK,「鹿児島城（鶴丸城）の御楼門は明治6年（1873年）の火災で焼失したが、西南戦争（1877年）ではなく、それ以前の火災による焼失。2020年（令和2年）4月に復元完成した」 --- 出典: https://ja.wikipedia.org/wiki/%E9%B9%BF%E5%85%90%E5%B3%B6%E5%9F%8E,
歴史・合戦,,続100名城,,2級,中級,1,戊辰戦争の際、東北の諸藩が集まって列藩会議を開き、これが後の奥羽越列藩同盟に繋がった。列藩会議が行われた城はどれか。,"会津若松城,白河小峰城,二本松城,白石城",白石城,公式,白石城（宮城県）は1868年（明治元年）に奥羽列藩会議が開かれ、奥羽越列藩同盟の結成につながった場所。仙台藩の重臣・片倉氏が城主を務めた支城。,OK,「白石城（宮城県）は慶応4年（1868年/明治元年）に奥羽列藩会議が開かれ、奥羽越列藩同盟の結成につながった歴史的場所。仙台藩の重臣・片倉氏（片倉景綱以来）の居城として明治維新まで機能した」 --- 出典: https://ja.wikipedia.org/wiki/%E7%99%BD%E7%9F%B3%E5%9F%8E,
堀・土塁,久保田城,100名城,,2級,中級,1,土塁技術を駆使して築城された久保田城だが、現在の建物は一つしかない。それはどれか。,"御隅櫓,長坂門,御物頭御番所,太鼓門",御物頭御番所,公式,久保田城（秋田市）は秋田藩20万石の藩城で石垣を持たない土塁主体の城。現存する唯一の建物は江戸期の「御物頭御番所」（おものがしらごばんしょ）。,OK,「久保田城（秋田市）は秋田藩（佐竹氏）20万石の城で石垣を一切持たない土塁主体の城郭。現存する唯一の建物は江戸時代建築の「御物頭御番所（おものがしらごばんしょ）」で秋田市指定有形文化財」 --- 出典: https://ja.wikipedia.org/wiki/%E4%B9%85%E4%BF%9D%E7%94%B0%E5%9F%8E,
城主・人物,,,,2級,中級,1,幕末、老中・安藤信正が水戸浪士に襲撃された事件は「坂下門外の変」として知られているが、この信正の居城はどれか。,"浜松城,白河城,磐城平城,相馬中村城",磐城平城,公式,磐城平城（福島県いわき市）は老中・安藤信正の居城。信正は坂下門外の変（1862年）で水戸浪士に襲撃されたが生き延び、後に失脚して藩主に戻った。,OK,「磐城平城（福島県いわき市）は老中・安藤信正（のぶまさ）の居城。信正は文久2年（1862年）の坂下門外の変で水戸脱藩浪士に襲撃されて負傷したが生き延び、幕閣からの失脚後に平藩主に戻った」 --- 出典: https://ja.wikipedia.org/wiki/%E5%AE%89%E8%97%A4%E4%BF%A1%E6%AD%A3,
地理・分類,,,,2級,中級,1,「荒城の月」の作曲者・滝廉太郎はある藩の家老を務めた家柄だが、それはどの藩か。,"府内藩,日出藩,佐伯藩,竹田藩",日出藩,公式,「荒城の月」の作曲者・滝廉太郎の家は大分県の日出藩（ひじはん）の家老を務めた武家の出。曲のモデルとなったのは同じ大分県の岡城（竹田市）とされる。,OK,「滝廉太郎（1879〜1903年）は大分県日出藩（ひじはん）の士族・滝吉弘の子として生まれ、竹田市で幼少期を過ごした。「荒城の月」（1901年）のモデルは竹田市の岡城（臼杵藩と関係するとする説もある）とされる」 --- 出典: https://ja.wikipedia.org/wiki/%E6%BB%9D%E5%BB%89%E5%A4%AA%E9%83%8E,
縄張・構造,鉢形城,100名城,,2級,中級,1,小田原北条氏の北関東の支配拠点である鉢形城の三の曲輪虎口に復元されている門はどれか。,"四脚門,櫓門,高麗門,冠木門",四脚門,公式,鉢形城（埼玉県寄居町）の三の曲輪虎口には四脚門（よつあしもん）が復元されている。荒川北岸の断崖に築かれた小田原北条氏の北関東支配の拠点城郭。,OK,「鉢形城（埼玉県寄居町）の三の曲輪虎口には四脚門（よつあしもん）が復元整備されている。荒川北岸の断崖絶壁に築かれた北条氏の北関東支配の拠点城郭で国の史跡に指定」 --- 出典: https://ja.wikipedia.org/wiki/%E9%89%A2%E5%BD%A2%E5%9F%8E,
縄張・構造,高岡城,100名城,,2級,中級,1,加賀前田家2代目の前田利長が築城した高岡城は、曲輪を土橋で結び、ある城と縄張の共通性が指摘されている。ある城とはどれか。,"七尾城,金沢城,富山城,春日山城",富山城,公式,高岡城（富山県）は前田利長が慶長14年（1609）に築いた水城で、水堀と土橋による構造が富山城と縄張上の共通性を持つと指摘されている。,OK,「高岡城（富山県高岡市）は前田利長が慶長14年（1609年）に築いた水城。水堀と土橋による縄張構造が特徴で、現在も高岡古城公園として残る」 --- 出典: https://ja.wikipedia.org/wiki/%E9%AB%98%E5%B2%A1%E5%9F%8E,
地理・分類,,,,2級,中級,1,滋賀県の次の4城の中で琵琶湖に面していないのはどれか。,"水口城,長浜城,膳所城,大溝城",水口城,公式,水口城（滋賀県甲賀市）は甲賀地方にあり琵琶湖には面していない。安土城・長浜城などは琵琶湖に面した城。水口城は徳川将軍の上洛時の宿城として築かれた。,OK,「水口城（滋賀県甲賀市）は甲賀地方の内陸に位置し琵琶湖には面していない。徳川将軍家の上洛時の宿城（御茶屋）として3代家光が慶安2年（1649年）に築かせた城で、加藤正次が縄張を担当した」 --- 出典: https://ja.wikipedia.org/wiki/%E6%B0%B4%E5%8F%A3%E5%9F%8E,
石垣,,,,2級,中級,1,「胴木」という用語に関連のあるものはどれか。,"石垣,堀,櫓,門",石垣,公式,胴木（どうき）は石垣の最下部に置く丸太で、軟弱地盤での石垣沈下を防ぐために用いられる。湿潤地中では長期間腐らず、石垣の基礎を長く支え続ける。,OK,「胴木（どうき）は石垣の最下部に敷く松や杉などの丸太で、軟弱地盤・湿潤地での石垣の沈下・傾斜を防ぐ基礎材料。湿潤な地中では腐食しにくく、石垣を長期間支え続ける」 --- 出典: https://ja.wikipedia.org/wiki/%E7%9F%B3%E5%9E%A3,
城主・人物,,,,2級,中級,1,小田原北条氏の最盛期を築いた北条氏康が、古河公方や山内上杉氏らを破った戦いはどれか。,"河越夜戦,神生の乱,長禄合戦,第一次国府台の戦い",河越夜戦,公式,河越夜戦（1546年）は北条氏康が古河公方・足利晴氏と山内・扇谷両上杉氏の連合軍を夜襲で破った戦い。この勝利で関東の覇権が北条氏に移る転換点となった。,OK,「河越夜戦（かわごえやせん、天文15年/1546年）は北条氏康が古河公方・足利晴氏と山内・扇谷両上杉氏の大連合軍（約8万）を夜襲で破った戦い。この勝利で北条氏が関東の覇権を確立した転換点」 --- 出典: https://ja.wikipedia.org/wiki/%E6%B2%B3%E8%B6%8A%E5%A4%9C%E6%88%A6,
城主・人物,,100名城,,2級,中級,1,幕府の陸軍総裁などを務めた田野口藩主・松平乗謨（のりたか）が、フランスの建築家・ヴォーパンの理論を参考にして、築いた城はどれか。,"龍岡城,妻籠城,上原城,桑原城",龍岡城,公式,龍岡城（長野県佐久市）は松平乗謨が慶応3年（1867年）に完成させた西洋式稜堡城郭。函館の五稜郭と同じ「五稜郭形式」（五角星形）で、稜堡（バスティオン）が5か所突き出た星形の設計。ヴォーバン式要塞の影響を受けた国内2例のひとつ。,OK,「龍岡城（長野県佐久市）は函館の五稜郭と同じ「五稜郭形式」（五芒星形・五角星形）の稜堡式城郭。「六角星形」は誤りで、稜堡（バスティオン）が5か所突き出た五角星形の設計。ヴォーバン式要塞の影響を受けた西洋式城郭」 --- 出典: https://ja.wikipedia.org/wiki/%E9%BE%8D%E5%B2%A1%E5%9F%8E,龍岡城（長野県佐久市）は松平乗謨が慶応3年（1867年）に完成させた西洋式稜堡城郭。函館の五稜郭と同じ「五稜郭形式」（五角星形）で、稜堡（バスティオン）が5か所突き出た星形の設計。ヴォーバン式要塞の影響を受けた国内2例のひとつ。
歴史・合戦,,続100名城,,2級,中級,1,小田原北条氏の属城となり、笠原信為が城代となって3代続いたが、小田原開城とともに廃城となった城はどれか。,"小机城,岡崎城,大庭城,新井城",小机城,公式,小机城（神奈川県横浜市）は北条氏の属城として笠原信為が城代を3代にわたって務めた。小田原開城（1590年）とともに廃城となった南武蔵野の山城遺跡。,OK,「小机城（神奈川県横浜市鶴見区）は北条氏の支城として笠原信為（かさはらのぶため）が城代を3代にわたって務めた。天正18年（1590年）の小田原開城にともない廃城となった南関東の山城遺跡」 --- 出典: https://ja.wikipedia.org/wiki/%E5%B0%8F%E6%9C%BA%E5%9F%8E,
地理・分類,,,,2級,中級,1,黒船の来航後、沿岸防御が急務となり、大砲を備えた砲台「台場」が盛んに築造された。江戸湾の台場担当の三つの譜代藩だが、江戸湾海防の任ではない藩はどれか。,"会津若松藩,忍藩,川越藩,佐倉藩",佐倉藩,公式,黒船来航（1853年）後の江戸湾防衛強化で品川台場の築造が急務となり、佐倉藩は江戸湾の台場担当を命じられた譜代藩の一つ。佐倉藩は老中を多く輩出した「老中の城」の藩。,OK,「嘉永6年（1853年）の黒船来航後、品川沖台場の建設が急がれ、複数の譜代藩が江戸湾防衛に動員された。佐倉藩（千葉県）は老中を多く輩出した「老中の城」として知られる幕府に近い譜代藩」 --- 出典: https://ja.wikipedia.org/wiki/%E4%BD%90%E5%80%89%E5%9F%8E,
